competition,match_id,date,season,team1,team2,winner,result,margin_runs,margin_wickets,toss_winner,toss_decision,venue,city
LPL,1238752,2020-11-26,2020/21,Kandy Tuskers,Colombo Kings,,tie,,,Colombo Kings,field,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota
LPL,1238766,2020-12-07,2020/21,Dambulla Viiking,Jaffna Stallions,,no result,,,Jaffna Stallions,field,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota
LPL,1291202,2021-12-10,2021/22,Dambulla Giants,Galle Gladiators,,no result,,,Dambulla Giants,bat,"R Premadasa Stadium, Colombo",Colombo
LPL,1382879,2023-07-31,2023,Galle Titans,Dambulla Aura,,tie,,,Dambulla Aura,field,"R Premadasa Stadium, Colombo",Colombo
LPL,1428474,2024-07-14,2024,Galle Marvels,Dambulla Sixers,,tie,,,Dambulla Sixers,field,"R Premadasa Stadium, Colombo",Colombo
LPL,1537350,2026-08-02,2026,Dambulla Sixers,Jaffna Kings,,no result,,,Jaffna Kings,field,Pallekele International Cricket Stadium,Kandy
