competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
LPL,1537342,2026-07-25,2026,Dambulla Sixers,Colombo Kaps,0,1,0,-21,176,120,197,120,8,5,38,34,21,47,36,38,30,9,8.799999999999999,1.4666666666666666,0.31666666666666665,0.2833333333333333,5,7.833333333333334,7.6,1.6416666666666666,0.175,7.6,7.833333333333334,9,7,20.0
LPL,1537343,2026-07-26,2026,Jaffna Kings,Kandy Royals,1,0,0,93,199,120,106,110,4,10,30,51,26,64,36,48,30,10,9.950000000000001,1.6583333333333334,0.25,0.4636363636363636,10,10.666666666666666,9.600000000000001,0.9636363636363636,0.21666666666666667,9.600000000000001,10.666666666666666,10,9,84.0
LPL,1537343,2026-07-26,2026,Kandy Royals,Jaffna Kings,0,1,0,-93,106,110,199,120,10,4,51,30,12,33,36,22,20,10,5.781818181818181,0.9636363636363636,0.4636363636363636,0.25,4,5.5,6.6000000000000005,1.6583333333333334,0.10909090909090909,6.6000000000000005,5.5,10,9,12.0
LPL,1537344,2026-07-26,2026,Galle Gallants,Dambulla Sixers,1,0,0,44,220,120,176,120,6,7,29,41,29,76,36,60,30,10,11.0,1.8333333333333333,0.24166666666666667,0.3416666666666667,7,12.666666666666668,12.0,1.4666666666666666,0.24166666666666667,12.0,12.666666666666668,10,11,84.0
LPL,1537344,2026-07-26,2026,Dambulla Sixers,Galle Gallants,0,1,0,-44,176,120,220,120,7,6,41,29,24,52,36,61,30,10,8.799999999999999,1.4666666666666666,0.3416666666666667,0.24166666666666667,6,8.666666666666666,12.2,1.8333333333333333,0.2,12.2,8.666666666666666,10,7,20.0
LPL,1537345,2026-07-28,2026,Jaffna Kings,Colombo Kaps,1,0,0,19,202,120,183,120,5,9,37,38,28,61,36,80,30,10,10.1,1.6833333333333333,0.30833333333333335,0.31666666666666665,9,10.166666666666666,16.0,1.525,0.23333333333333334,16.0,10.166666666666666,10,9,84.0
LPL,1537345,2026-07-28,2026,Colombo Kaps,Jaffna Kings,0,1,0,-19,183,120,202,120,9,5,38,37,24,48,36,45,30,10,9.149999999999999,1.525,0.31666666666666665,0.30833333333333335,5,8.0,9.0,1.6833333333333333,0.2,9.0,8.0,10,10,44.0
LPL,1537346,2026-07-29,2026,Galle Gallants,Kandy Royals,0,0,0,-6,208,120,214,113,3,5,29,29,28,42,36,70,30,5,10.4,1.7333333333333334,0.24166666666666667,0.25663716814159293,5,7.0,14.0,1.8938053097345133,0.23333333333333334,14.0,7.0,5,11,84.0
LPL,1537346,2026-07-29,2026,Kandy Royals,Galle Gallants,1,1,0,6,214,113,208,120,5,3,29,29,29,83,36,66,23,5,11.36283185840708,1.8938053097345133,0.25663716814159293,0.24166666666666667,3,13.833333333333332,17.217391304347824,1.7333333333333334,0.25663716814159293,17.217391304347824,13.833333333333332,5,9,12.0
LPL,1537347,2026-07-29,2026,Dambulla Sixers,Colombo Kaps,0,0,0,-3,174,120,177,114,5,6,39,41,24,37,36,63,30,6,8.7,1.45,0.325,0.35964912280701755,6,6.166666666666666,12.600000000000001,1.5526315789473684,0.2,12.600000000000001,6.166666666666666,6,7,20.0
